colClues,difficulty,number,rowClues,sizeCol,sizeRow,solution,title
"0 ,1,0 ,0 ,0 ,1,1,2,0 ,4",10-Feb,6507,"0 ,1,0 ,0 ,0 ,1,3,1,2,1",5,5,http://static.nonograms.org/files/nonograms/large/svecha10_12_1_1p.png,Candle
"0 ,0 ,1,0 ,0 ,2,1,1,1,0 ,1,2,0 ,2,2",10-Feb,6554,"0 ,1,0 ,0 ,0 ,3,1,3,2,3",5,5,http://static.nonograms.org/files/nonograms/large/tetris_12_1_1p.png,Tetris
"1,1,0 ,5,0 ,5,0 ,3,0 ,1",10-Feb,16331,"2,4,4,4,2",5,5,http://static.nonograms.org/files/nonograms/large/serdechko4_12_1_1p.png,Tiny Heart
"3,3,2,3,4,4,0 ,9,3,3",10-Feb,4370,"0 ,0 ,0 ,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,4,5,3,1,3,3,4,3,2,1,1",5,12,http://static.nonograms.org/files/nonograms/large/ochki6_12_1_1p.png,Glasses
"0 ,0 ,0 ,2,1,0 ,4,3,2,1,2,1,1,2,1,1,3,1,2,2,0 ,1,4,3,3,0 ,0 ,2,2,3",10-Apr,10955,"0 ,2,2,1,1,0 ,1,0 ,0 ,2,0 ,0 ,3,0 ,0 ,0 ,0 ,1,1,2,1,1,5,1,3,2,1,2,2,1,6,1,2,3",6,17,http://static.nonograms.org/files/nonograms/large/cherepashka12_12_1_1p.png,Turtle
"0 ,0 ,0 ,4,4,0 ,3,3,1,5,2,1,6,3,2,0 ,0 ,0 ,6,6,0 ,4,1,4,1,0 ,0 ,0 ,4,4",10-Mar,13648,"0 ,0 ,0 ,0 ,1,1,0 ,4,0 ,0 ,0 ,0 ,1,1,0 ,4,0 ,0 ,0 ,0 ,1,2,1,4,3,3,6,1,4,1,1,4,3,3,6,1,4,1,2,1",6,20,http://static.nonograms.org/files/nonograms/large/ochki8_12_1_1p.png,Glasses
"0 ,3,1,1,0 ,4,1,3,0 ,6,0 ,6",10-Feb,16957,"0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,3,1,5,2,3,3,3,2,1",6,10,http://static.nonograms.org/files/nonograms/large/gadkiy_utyonok4_12_1_1p.png,Ugly duckling
"0 ,3,0 ,2,1,1,0 ,2,0 ,3,1,1",10-Feb,4353,"1,0 ,0 ,0 ,1,1,0 ,0 ,2,2,6,1",6,4,http://static.nonograms.org/files/nonograms/large/krohotniy_kozlik_12_1_1p.png,Tiny goat
"1,5,2,9,11,2,0 ,14,2,9,1,5",10-Feb,31,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,6,4,2,2,4,4,6,6,6,6,6,2,4,2",6,14,http://static.nonograms.org/files/nonograms/large/fish_12_1_1p.png,Fish
"0 ,0 ,0 ,0 ,4,4,0 ,0 ,0 ,8,2,1,0 ,2,1,1,3,4,0 ,2,1,1,1,6,2,1,1,1,1,3,0 ,0 ,0 ,0 ,0 ,15,0 ,0 ,0 ,0 ,1,1",10-Mar,6468,"0 ,0 ,0 ,0 ,0 ,1,0 ,2,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,2,1,3,1,3,1,2,3,0 ,0 ,0 ,0 ,1,0 ,1,2,4,1,2,1,2,1,2,1,2,2,4,3,6,4,2,3",7,18,http://static.nonograms.org/files/nonograms/large/cherepaha9_12_1_1p.png,Turtle
"0 ,0 ,2,0 ,0 ,13,2,2,1,7,7,1,0 ,7,1,0 ,2,13,0 ,0 ,2",10-Feb,2766,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,1,1,1,1,1,1,1,1,0 ,4,4,2,2,2,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1",7,20,http://static.nonograms.org/files/nonograms/large/mech_12_1_1p.png,Sword
"0 ,1,0 ,3,7,2,1,7,0 ,7,0 ,5,0 ,3",10-Feb,159,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,1,4,6,7,6,4,2,2,1",7,10,http://static.nonograms.org/files/nonograms/large/small_teapot_12_1_1p.png,Small teapot
"0 ,1,0 ,1,2,2,1,5,0 ,8,0 ,6,2,3",10-Feb,4366,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,2,1,7,3,5,5,4,2",7,8,http://static.nonograms.org/files/nonograms/large/zaychik3_12_1_1p.png,Bunny
"0 ,0 ,5,0 ,1,1,0 ,1,2,0 ,0 ,7,1,3,1,0 ,0 ,7,0 ,1,1",10-Feb,15707,"0 ,4,1,1,1,4,0 ,3,2,3,3,4,2,3",7,7,http://static.nonograms.org/files/nonograms/large/mashina6_12_1_1p.png,Car
"0 ,1,0 ,2,2,1,2,1,3,1,0 ,4,1,3",10-Feb,4365,"2,0 ,0 ,0 ,1,0 ,1,6,4,3,2,2",7,6,http://static.nonograms.org/files/nonograms/large/krohotniy_kot_12_1_1p.png,Cat
"0 ,0 ,1,0 ,0 ,3,0 ,2,2,0 ,2,2,0 ,0 ,5,1,1,1,0 ,1,3",10-Mar,4668,"0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,2,2,1,0 ,0 ,1,5,1,3,1,5,1",7,7,http://static.nonograms.org/files/nonograms/large/domik6_12_1_1p.png,The house
"0 ,0 ,3,3,0 ,0 ,0 ,11,0 ,0 ,0 ,13,0 ,0 ,7,7,1,7,7,1,0 ,0 ,9,9,0 ,0 ,8,8,0 ,0 ,6,6",10-Mar,8512,"3,3,3,4,5,6,7,6,6,5,4,2,4,5,6,6,7,6,5,4,3,3,3",8,23,http://static.nonograms.org/files/nonograms/large/usi_12_1_1p.png,Mustache
"0 ,0 ,1,0 ,3,1,0 ,5,2,0 ,0 ,12,0 ,0 ,8,0 ,5,1,1,2,1,2,2,2",10-Mar,13236,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,1,1,2,3,5,7,1,4,3,2,7,1,1,1,1",8,15,http://static.nonograms.org/files/nonograms/large/krisa4_12_1_1p.png,Rat
"0 ,0 ,0 ,5,0 ,2,1,3,0 ,2,3,2,0 ,3,1,1,0 ,7,1,2,4,3,2,1,0 ,2,4,1,0 ,0 ,3,5",10-Mar,15007,"0 ,0 ,0 ,1,1,0 ,0 ,0 ,0 ,0 ,1,2,0 ,0 ,0 ,0 ,2,2,1,1,1,2,1,1,2,1,3,0 ,4,6,5,1,1,3,5,3,2,1,1,1,1,2",8,14,http://static.nonograms.org/files/nonograms/large/malenkiy_spyashiy_koala_12_1_1p.png,A Little Sleeping Koala
"0 ,0 ,11,0 ,0 ,1,4,2,1,0 ,1,10,1,1,2,0 ,0 ,5,0 ,1,1,0 ,0 ,5",10-Mar,13591,"0 ,0 ,1,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,4,4,1,1,1,1,1,0 ,0 ,0 ,1,1,1,3,1,3,1,2,2,2,2,1,1,2",8,14,http://static.nonograms.org/files/nonograms/large/vertoletik_12_1_1p.png,Helicopter
"0 ,0 ,2,2,2,1,2,1,2,1,2,1,0 ,0 ,2,2,0 ,0 ,4,5,0 ,0 ,0 ,11,1,3,1,3,0 ,0 ,3,3",10-Apr,12386,"0 ,3,0 ,2,2,1,2,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,1,6,4,2,1,2,1,4,4,3,2,2,2,2,1,2",8,17,http://static.nonograms.org/files/nonograms/large/solncezashitnie_ochki_12_1_1p.png,Sunglasses
"1,1,2,3,3,6,0 ,18,0 ,14,0 ,14,2,2,3,3",10-Mar,13278,"0 ,0 ,2,0 ,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5,0 ,0 ,0 ,2,2,3,6,1,3,3,3,3,3,3,3,3,3,6,7,1,3,2,2",8,20,http://static.nonograms.org/files/nonograms/large/taksa10_12_1_1p.png,Dachshund
"0 ,0 ,0 ,3,0 ,0 ,2,2,0 ,0 ,1,2,0 ,0 ,1,16,0 ,0 ,1,15,0 ,1,2,4,2,2,2,1,0 ,3,2,1",10-Mar,48,"0 ,2,1,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6,2,1,2,6,4,2,2,2,2,2,2,2,2,5,5,3,5,2,1",8,20,http://static.nonograms.org/files/nonograms/large/key1_12_1_1p.png,Key
"0 ,1,3,0 ,3,1,1,5,2,0 ,1,7,0 ,0 ,10,0 ,6,2,0 ,3,1,0 ,0 ,3",10-Mar,6495,"0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,1,1,1,0 ,0 ,0 ,4,0 ,0 ,0 ,1,3,2,6,8,8,1,2,4,6",8,10,http://static.nonograms.org/files/nonograms/large/ribka17_12_1_1p.png,Fish
"0 ,0 ,6,2,1,1,1,1,1,0 ,0 ,9,0 ,0 ,9,0 ,0 ,10,0 ,2,2,0 ,2,2",10-Feb,1862,"0 ,0 ,0 ,0 ,2,1,0 ,1,1,0 ,1,3,5,7,3,3,6,5,5,6",8,10,http://static.nonograms.org/files/nonograms/large/car4_12_1_1p.png,Car
"0 ,1,1,0 ,0 ,3,0 ,0 ,3,0 ,0 ,4,0 ,0 ,6,0 ,0 ,5,1,1,3,0 ,0 ,6",10-Feb,8563,"3,4,0 ,3,0 ,0 ,0 ,1,1,8,1,5,4,4",8,7,http://static.nonograms.org/files/nonograms/large/cat5_12_1_1p.png,Cat
"1,3,1,1,1,1,0 ,5,2,4,0 ,7,0 ,7,0 ,5",10-Feb,4355,"0 ,1,3,1,0 ,1,0 ,3,5,3,5,8,5,3",8,7,http://static.nonograms.org/files/nonograms/large/kolba_12_1_1p.png,Flask
"0 ,0 ,1,1,0 ,0 ,1,1,0 ,0 ,0 ,7,0 ,2,3,2,0 ,0 ,0 ,11,0 ,1,7,1,1,1,1,1,0 ,0 ,2,2",10-Mar,6296,"0 ,0 ,0 ,2,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,1,2,4,0 ,4,2,1,0 ,0 ,3,2,5,1,1,4,1,1,5,2,3",8,11,http://static.nonograms.org/files/nonograms/large/space_invaders_12_1_1p.png,Space Invaders
"0 ,1,2,3,0 ,10,8,1,7,1,0 ,9,0 ,7,0 ,5",10-Mar,6269,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,1,3,5,6,7,8,7,6,5,1,4",8,11,http://static.nonograms.org/files/nonograms/large/chaynik14_12_1_1p.png,Teapot
"0 ,0 ,2,0 ,0 ,3,0 ,0 ,1,0 ,3,4,0 ,1,8,0 ,0 ,10,0 ,2,4,3,1,3",10-Mar,79,"0 ,1,3,0 ,2,2,3,0 ,0 ,0 ,0 ,2,1,1,7,4,3,1,4,5,4,2",8,11,http://static.nonograms.org/files/nonograms/large/small_rabbit_12_1_1p.png,Little bunny
"0 ,0 ,3,0 ,3,1,0 ,1,3,3,1,1,0 ,3,1,0 ,0 ,1,0 ,4,1,0 ,2,4",10-Mar,2911,"1,1,0 ,1,1,0 ,0 ,0 ,1,1,5,1,1,3,1,0 ,1,2,1,1,2,1,1,6",8,8,http://static.nonograms.org/files/nonograms/large/vilka_12_1_1p.png,Plug
"0 ,0 ,5,1,1,4,0 ,0 ,8,2,1,1,0 ,0 ,2,0 ,2,1,0 ,0 ,8,0 ,0 ,3",10-Feb,10022,"0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,1,3,2,3,2,2,3,7,6,2,2,1,2,1,1",8,8,http://static.nonograms.org/files/nonograms/large/zubastik_12_1_1p.png,Nibbler
"0 ,2,4,1,0 ,9,7,1,7,1,6,1,0 ,7,3,2",10-Mar,21128,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,1,1,0 ,0 ,3,5,6,6,6,6,2,1,1,3,1",8,11,http://static.nonograms.org/files/nonograms/large/zhaba4_12_1_1p.png,Frog
"0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,9,1,1,1,1,1,0 ,2,1,1,1,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,1,1",10-Mar,19177,"0 ,0 ,0 ,2,1,2,1,2,1,0 ,0 ,6,1,1,2,1,2,1,1,2,1,1,4,1,1,1,1,1,1,1",9,10,http://static.nonograms.org/files/nonograms/large/korzina3_12_1_1p.png,Shopping Cart
"1,1,1,1,0 ,0 ,3,3,1,1,1,1,0 ,1,4,1,0 ,0 ,0 ,6,0 ,0 ,0 ,10,0 ,0 ,0 ,6,0 ,2,4,2,0 ,0 ,1,1",10-Mar,7655,"2,3,0 ,0 ,0 ,0 ,0 ,0 ,3,2,1,1,2,0 ,0 ,0 ,0 ,2,1,1,2,1,3,6,5,5,6,3,1,2",9,10,http://static.nonograms.org/files/nonograms/large/krabik3_12_1_1p.png,Crab
"0 ,1,7,1,0 ,0 ,0 ,7,0 ,0 ,3,3,0 ,0 ,2,2,2,2,2,2,0 ,0 ,2,2,0 ,0 ,3,3,1,1,1,1,0 ,1,7,1",10-Feb,17226,"1,0 ,0 ,2,2,0 ,2,2,0 ,0 ,1,5,0 ,3,1,1,2,1,1,3,0 ,5,1,5,3,1,2,1,2,1,3,5,1",9,11,http://static.nonograms.org/files/nonograms/large/cherep_i_kosti2_12_1_1p.png,Skull and bones
"0 ,1,1,0 ,0 ,3,0 ,0 ,3,0 ,0 ,3,0 ,0 ,4,0 ,0 ,5,0 ,4,1,1,4,1,0 ,7,1",10-Feb,17605,"0 ,0 ,0 ,0 ,3,0 ,0 ,3,0 ,0 ,1,1,1,4,5,8,9,1,2,1",9,10,http://static.nonograms.org/files/nonograms/large/kotya6_12_1_1p.png,Cat
"0 ,0 ,0 ,0 ,0 ,1,0 ,1,1,1,1,1,0 ,0 ,0 ,0 ,1,1,0 ,1,1,1,2,1,0 ,0 ,0 ,0 ,12,1,1,1,1,1,2,1,0 ,0 ,1,1,1,1,0 ,0 ,0 ,8,1,1,0 ,0 ,0 ,0 ,0 ,1",10-Mar,14512,"0 ,0 ,0 ,0 ,1,0 ,1,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,3,1,3,1,3,1,0 ,0 ,1,0 ,1,1,4,1,1,1,1,1,1,2,3,7,1,7",9,14,http://static.nonograms.org/files/nonograms/large/truba_muzikalniy_instrument_12_1_1p.png,Mellophone
"0 ,0 ,4,0 ,1,1,0 ,0 ,1,1,2,1,0 ,0 ,9,0 ,2,5,0 ,1,3,0 ,2,2,0 ,0 ,3",10-Mar,15368,"0 ,1,1,2,1,0 ,0 ,0 ,2,3,0 ,1,2,1,1,1,3,3,1,4,2,1,5,3",9,12,http://static.nonograms.org/files/nonograms/large/mormishka_bezmotilka_12_1_1p.png,Bait for fish
"0 ,0 ,2,2,0 ,0 ,1,1,0 ,0 ,2,2,0 ,0 ,1,1,0 ,1,7,1,2,1,1,2,0 ,0 ,1,1,0 ,0 ,0 ,11,0 ,0 ,1,1",10-Mar,9435,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,1,1,0 ,1,2,1,2,1,0 ,1,1,0 ,4,2,1,4,1,1,1,1,1,4,1,2,4",9,13,http://static.nonograms.org/files/nonograms/large/krab10_12_1_1p.png,Crab
"0 ,3,14,0 ,1,12,1,1,10,1,1,8,0 ,2,1,0 ,3,3,1,1,2,0 ,2,8,0 ,9,11",10-Mar,20114,"0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,4,0 ,2,1,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,2,3,3,4,5,5,4,4,1,2,7,3,2,1,1,1,1,1,1,1,0 ,1,1,1,2,2,2,2,2,2,2,1,1,1,1",9,24,http://static.nonograms.org/files/nonograms/large/belyok2_12_1_1p.png,Baby Seal
"0 ,1,5,2,1,1,3,1,1,0 ,0 ,6,0 ,4,4,0 ,0 ,6,1,1,3,1,1,2,0 ,5,1",10-Mar,8560,"0 ,0 ,3,0 ,0 ,0 ,1,0 ,0 ,5,4,1,3,4,1,1,2,1,1,2,1,1,4,3,3,4,5",9,9,http://static.nonograms.org/files/nonograms/large/vint_12_1_1p.png,Propeller
"0 ,0 ,0 ,1,1,0 ,0 ,1,1,3,0 ,0 ,2,1,3,1,1,1,1,1,0 ,0 ,1,1,1,0 ,0 ,1,1,1,0 ,0 ,0 ,0 ,8,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,0 ,7",10-Feb,7339,"0 ,0 ,1,0 ,1,0 ,0 ,0 ,0 ,0 ,1,1,1,1,2,0 ,1,0 ,9,3,3,3,3,3,9,1,3",9,9,http://static.nonograms.org/files/nonograms/large/kruzhka_piva2_12_1_1p.png,Beer mug
"0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,5,0 ,0 ,0 ,0 ,7,0 ,0 ,0 ,0 ,9,1,1,1,1,1,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,1,1,0 ,0 ,0 ,0 ,3",10-Mar,1235,"0 ,0 ,4,3,0 ,0 ,0 ,0 ,0 ,2,2,2,1,9,3,4,2,2",9,9,http://static.nonograms.org/files/nonograms/large/zontik_12_1_1p.png,Umbrella
"0 ,0 ,2,2,0 ,0 ,2,2,1,1,1,1,0 ,0 ,0 ,5,0 ,2,1,2,0 ,1,2,1,0 ,0 ,2,2,0 ,0 ,0 ,5,0 ,0 ,1,1",10-Mar,2944,"0 ,0 ,1,0 ,0 ,0 ,0 ,2,2,2,0 ,1,2,2,3,2,1,3,2,2,3,1,2,1,1,1,2,1",9,7,http://static.nonograms.org/files/nonograms/large/budilnik_12_1_1p.png,Alarm clock
"0 ,1,1,1,0 ,0 ,5,1,1,1,1,1,0 ,0 ,5,1,0 ,0 ,6,1,0 ,0 ,0 ,7,0 ,0 ,0 ,6,0 ,0 ,1,3,0 ,0 ,2,4",10-Feb,16976,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,1,7,0 ,0 ,0 ,0 ,4,1,8,4,1,5,5,4,6",9,9,http://static.nonograms.org/files/nonograms/large/kotya4_12_1_1p.png,Kitten
"0 ,0 ,3,2,0 ,1,2,3,2,2,1,3,0 ,3,3,3,0 ,0 ,7,1,0 ,0 ,8,1,0 ,0 ,0 ,6,0 ,0 ,3,1,0 ,0 ,2,3,0 ,0 ,0 ,1",10-May,11202,"0 ,1,2,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,2,1,1,1,0 ,0 ,0 ,1,1,3,0 ,0 ,0 ,0 ,0 ,1,1,3,2,1,0 ,1,4,1,1,1,0 ,0 ,0 ,3,1,1,1,1,4,4,6,1,1,1,3,2,1,1",10,15,http://static.nonograms.org/files/nonograms/large/begushaya_ptichka_12_1_1p.png,Running bird
"0 ,0 ,0 ,2,0 ,0 ,2,1,0 ,0 ,1,1,0 ,0 ,2,1,0 ,0 ,4,2,0 ,0 ,3,1,0 ,1,1,1,0 ,2,1,2,2,1,1,2,0 ,0 ,1,3",10-May,10728,"0 ,1,2,1,0 ,0 ,0 ,0 ,0 ,0 ,1,1,2,1,0 ,0 ,1,1,1,0 ,1,1,1,4,5,5,1,1,3,4",10,10,http://static.nonograms.org/files/nonograms/large/bantik2_12_1_1p.png,Bow-knot
"0 ,2,2,0 ,3,3,0 ,0 ,6,0 ,0 ,4,0 ,0 ,10,0 ,4,4,3,3,1,2,3,1,1,3,1,0 ,0 ,10",10-Mar,7473,"0 ,2,3,0 ,0 ,0 ,0 ,3,2,0 ,0 ,4,3,5,3,3,7,3,2,0 ,6,1,1,2,3,4,1,1,1,6",10,10,http://static.nonograms.org/files/nonograms/large/podarok8_12_1_1p.png,Gift
"0 ,2,1,2,2,1,0 ,2,4,0 ,0 ,5,0 ,1,2,0 ,0 ,7,0 ,0 ,2,0 ,0 ,1,0 ,0 ,3,0 ,0 ,1",10-Mar,2960,"0 ,0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,2,0 ,1,1,1,0 ,5,1,0 ,2,2,1,1,1,1,9,1,2,3",10,10,http://static.nonograms.org/files/nonograms/large/futbol2_12_1_1p.png,Football
"0 ,0 ,3,1,1,1,0 ,0 ,5,0 ,2,1,0 ,0 ,2,0 ,0 ,2,0 ,2,3,0 ,3,5,0 ,6,2,0 ,0 ,4",10-Mar,2973,"0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,3,2,2,0 ,0 ,0 ,0 ,0 ,3,7,6,3,2,3,3,2,3,2",10,10,http://static.nonograms.org/files/nonograms/large/chervyak2_12_1_1p.png,Worm
"0 ,0 ,0 ,5,0 ,2,2,1,0 ,3,1,2,0 ,1,2,2,2,1,1,1,0 ,0 ,3,4,0 ,2,1,1,0 ,0 ,1,5,0 ,0 ,0 ,6,0 ,0 ,0 ,1",10-Mar,2959,"0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,1,3,2,0 ,0 ,0 ,0 ,5,1,4,1,2,1,1,0 ,2,5,1,2,3,2,1,3,4,3",10,10,http://static.nonograms.org/files/nonograms/large/list_12_1_1p.png,Leaf
"0 ,3,3,0 ,0 ,1,0 ,0 ,5,2,4,1,0 ,1,7,1,5,1,0 ,0 ,7,0 ,0 ,5,1,1,1,0 ,0 ,7",10-Mar,2864,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,2,1,0 ,0 ,1,1,0 ,0 ,0 ,4,2,1,7,1,6,4,0 ,0 ,0 ,2,1,4,1,8,1,1,2,1,3",10,10,http://static.nonograms.org/files/nonograms/large/vertolet3_12_1_1p.png,Helicopter
"0 ,2,1,1,3,1,2,1,3,1,5,1,0 ,5,5,1,7,1,3,5",10-Mar,2928,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,1,0 ,0 ,1,1,1,1,0 ,0 ,1,2,10,6,5,5,4,2,1,3",10,10,http://static.nonograms.org/files/nonograms/large/dinozavr4_12_1_1p.png,Dinosaur
"0 ,0 ,7,0 ,2,2,0 ,1,1,2,1,4,3,3,1,1,5,1,5,1,1,2,4,1,0 ,0 ,9,0 ,0 ,7",10-Mar,2926,"0 ,0 ,1,1,0 ,0 ,1,0 ,0 ,0 ,0 ,2,1,4,1,1,3,2,3,0 ,3,7,4,2,5,6,3,7,1,6",10,10,http://static.nonograms.org/files/nonograms/large/pivo_12_1_1p.png,Beer
"0 ,0 ,2,2,0 ,0 ,2,2,0 ,5,1,1,0 ,0 ,1,4,0 ,1,3,3,1,1,1,3,0 ,1,1,2,0 ,0 ,0 ,8,0 ,0 ,1,3,0 ,0 ,0 ,7",10-Mar,2954,"0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,2,0 ,0 ,0 ,0 ,6,1,2,1,4,1,0 ,0 ,0 ,0 ,1,1,3,1,1,3,10,6,6,2",10,10,http://static.nonograms.org/files/nonograms/large/ulitka11_12_1_1p.png,Snail
